,NLDAS_ID,WRM_SUPPLY,WRM_SUPPLY_acreft
0,x100y1,0.0,0.0
1,x100y10,0.0,0.0
2,x100y100,0.006134284,156.8505203242617
3,x100y101,0.03219005,823.0832411937414
4,x100y102,0.03152538,806.0879668194865
5,x100y103,0.03219005,823.0832411937414
6,x100y104,0.031279933,799.8119626958636
7,x100y105,0.035260197,901.5852778761614
8,x100y106,0.035746522,914.0203827851384
9,x100y107,0.035663377,911.8944471700494
10,x100y108,0.03499086,894.6984574226731
11,x100y109,0.03204081,819.2671202930429
12,x100y11,0.0,0.0
13,x100y110,0.031751193,811.8618935032895
14,x100y111,0.030086022,769.2842960218497
15,x100y112,0.028041905,717.0172325421521
16,x100y113,0.030007437,767.2749024862584
17,x100y114,0.034980062,894.4223834699387
18,x100y115,0.03266257,835.1652517800248
19,x100y116,0.03515696,898.9456322888292
20,x100y117,0.016236601,415.1616141108389
21,x100y118,0.016212665,414.54956950115223
22,x100y119,0.016365007,418.44487832443576
23,x100y12,0.0,0.0
24,x100y120,0.016365007,418.44487832443576
25,x100y121,0.013611119,348.02936634784055
26,x100y122,0.013611119,348.02936634784055
27,x100y123,0.013611119,348.02936634784055
28,x100y124,0.013611119,348.02936634784055
29,x100y125,0.008377245,214.20190361996015
30,x100y126,0.008377245,214.20190361996015
31,x100y127,0.008377245,214.20190361996015
32,x100y128,0.008377245,214.20190361996015
33,x100y129,0.031038057,793.6273570412826
34,x100y13,0.0,0.0
35,x100y130,0.03244407,829.5784571395563
36,x100y131,0.03237423,827.792538279654
37,x100y132,0.029172884,745.9357803987499
38,x100y133,0.028449202,727.4316726418851
39,x100y134,0.027652694,707.0653481727005
40,x100y135,0.027773116,710.1444289289753
41,x100y136,0.0,0.0
42,x100y137,0.05325476,1361.6970203205565
43,x100y138,0.06372235,1629.3480080557144
44,x100y139,0.06451756,1649.6812412214833
45,x100y14,0.0,0.0
46,x100y140,0.10041216,2567.4880494363506
47,x100y141,0.21824467,5580.405273342494
48,x100y142,0.21824467,5580.405273342494
49,x100y143,0.21824467,5580.405273342494
50,x100y144,0.21824467,5580.405273342494
51,x100y145,0.28566542,7304.319411846971
52,x100y146,0.28566542,7304.319411846971
53,x100y147,0.28566542,7304.319411846971
54,x100y148,0.28566542,7304.319411846971
55,x100y149,0.17996487,4601.610181407482
56,x100y15,0.0,0.0
57,x100y150,0.015801623,404.03946807888053
58,x100y151,0.17996487,4601.610181407482
59,x100y152,0.17996487,4601.610181407482
60,x100y153,0.009165468,234.35636788294093
61,x100y154,0.009715018,248.40806966589196
62,x100y155,0.010536734,269.41893397120725
63,x100y156,0.0103216935,263.9204490372893
64,x100y157,0.009715983,248.43270751406843
65,x100y158,0.009850407,251.86988602701427
66,x100y159,0.009850407,251.86988602701427
67,x100y16,0.0,0.0
68,x100y160,0.009850407,251.86988602701427
69,x100y161,0.05672915,1450.5354652081915
70,x100y162,0.039343327,1005.9887736639932
71,x100y163,0.05672915,1450.5354652081915
72,x100y164,0.05672915,1450.5354652081915
73,x100y165,0.018635573,476.5021251326278
74,x100y166,0.01894176,484.33118071242035
75,x100y167,0.01894176,484.33118071242035
76,x100y168,0.01894176,484.33118071242035
77,x100y169,0.043915194,1122.8891496106291
78,x100y17,0.0,0.0
79,x100y170,0.043915194,1122.8891496106291
80,x100y171,0.043915194,1122.8891496106291
81,x100y172,0.043915194,1122.8891496106291
82,x100y173,0.04913692,1256.4059839843371
83,x100y174,0.04913692,1256.4059839843371
84,x100y175,0.04913692,1256.4059839843371
85,x100y176,0.04913692,1256.4059839843371
86,x100y177,0.004116704,105.26202725691488
87,x100y178,0.004116704,105.26202725691488
88,x100y179,0.004116704,105.26202725691488
89,x100y18,0.0,0.0
90,x100y180,0.004116704,105.26202725691488
91,x100y181,0.010184368,260.40912216161286
92,x100y182,0.011218574,286.85321000388006
93,x100y183,0.011218574,286.85321000388006
94,x100y184,0.011218574,286.85321000388006
95,x100y185,0.0118176015,302.1700580655189
96,x100y186,0.012081592,308.92017820009244
97,x100y187,0.012081592,308.92017820009244
98,x100y188,0.012081592,308.92017820009244
99,x100y189,0.027098944,692.9061719054017
100,x100y19,0.0,0.0
101,x100y190,0.027595293,705.5976260382212
102,x100y191,0.027099386,692.9175154308086
103,x100y192,0.027595293,705.5976260382212
104,x100y193,0.0,0.0
105,x100y194,0.0,0.0
106,x100y195,0.0,0.0
107,x100y196,0.0,0.0
108,x100y197,0.009093706,232.52144427076365
109,x100y198,0.009093706,232.52144427076365
110,x100y199,0.026996527,690.2874793267828
111,x100y2,0.0,0.0
112,x100y20,0.0,0.0
113,x100y200,0.009093706,232.52144427076365
114,x100y201,0.023656927,604.8955514913218
115,x100y202,0.023656927,604.8955514913218
116,x100y203,0.023656927,604.8955514913218
117,x100y204,0.023656927,604.8955514913218
118,x100y205,0.0,0.0
119,x100y206,0.0,0.0
120,x100y21,0.0,0.0
121,x100y22,0.0,0.0
122,x100y23,0.0,0.0
123,x100y24,0.0,0.0
124,x100y25,0.0,0.0
125,x100y26,0.0,0.0
126,x100y27,0.0,0.0
127,x100y28,0.0,0.0
128,x100y29,0.0,0.0
129,x100y3,0.0,0.0
130,x100y30,0.0,0.0
131,x100y31,0.0,0.0
132,x100y32,0.0,0.0
133,x100y33,0.0,0.0
134,x100y34,0.0,0.0
135,x100y35,0.0,0.0
136,x100y36,0.0,0.0
137,x100y37,0.0,0.0
138,x100y38,0.0,0.0
139,x100y39,0.0,0.0
140,x100y4,0.0,0.0
141,x100y40,0.0,0.0
142,x100y41,0.0,0.0
143,x100y42,0.0,0.0
144,x100y43,0.0,0.0
145,x100y44,0.0,0.0
146,x100y45,0.0,0.0
147,x100y46,0.0,0.0
148,x100y47,0.0034350336,87.83206826655453
149,x100y48,0.0,0.0
150,x100y49,0.0,0.0
151,x100y5,0.0,0.0
152,x100y50,0.0,0.0
153,x100y51,0.0,0.0
154,x100y52,0.0,0.0
155,x100y53,0.0,0.0
156,x100y54,0.005910238,151.12176904976164
157,x100y55,0.005910238,151.12176904976164
158,x100y56,0.005910238,151.12176904976164
159,x100y57,0.01268766,324.4170234443405
160,x100y58,0.01268766,324.4170234443405
161,x100y59,0.01268766,324.4170234443405
162,x100y6,0.0,0.0
163,x100y60,0.01268766,324.4170234443405
164,x100y61,0.10574282,2703.79011668207
165,x100y62,0.10574282,2703.79011668207
166,x100y63,0.10574282,2703.79011668207
167,x100y64,0.10574282,2703.79011668207
168,x100y65,0.15669239,4006.544155939902
169,x100y66,0.15669239,4006.544155939902
170,x100y67,0.15669239,4006.544155939902
171,x100y68,0.15669239,4006.544155939902
172,x100y69,0.10464891,2675.819439588603
173,x100y7,0.0,0.0
174,x100y70,0.10464891,2675.819439588603
175,x100y71,0.10464891,2675.819439588603
176,x100y72,0.10464891,2675.819439588603
177,x100y73,0.018860037,482.24155160380843
178,x100y74,0.018860037,482.24155160380843
179,x100y75,0.018860037,482.24155160380843
180,x100y76,0.018860037,482.24155160380843
181,x100y77,0.0060713096,155.24029966759443
182,x100y78,0.0060713096,155.24029966759443
183,x100y79,0.0060713096,155.24029966759443
184,x100y8,0.0,0.0
185,x100y80,0.0060713096,155.24029966759443
186,x100y81,0.0026681428,68.22305507457655
187,x100y82,0.0026681428,68.22305507457655
188,x100y83,0.0026681428,68.22305507457655
189,x100y84,0.0026681428,68.22305507457655
190,x100y85,0.0013649515,34.90111276994177
191,x100y86,0.0013649515,34.90111276994177
192,x100y87,0.0013649515,34.90111276994177
193,x100y88,0.0013649515,34.90111276994177
194,x100y89,0.0020745418,53.04498005405058
195,x100y9,0.0,0.0
196,x100y90,0.0020745418,53.04498005405058
197,x100y91,0.0020745418,53.04498005405058
198,x100y92,0.0020745418,53.04498005405058
199,x100y93,0.0051766345,132.36391313220523
200,x100y94,0.0051766345,132.36391313220523
201,x100y95,0.0051766345,132.36391313220523
202,x100y96,0.0051766345,132.36391313220523
203,x100y97,0.006134284,156.8505203242617
204,x100y98,0.006134284,156.8505203242617
205,x100y99,0.006134284,156.8505203242617
206,x101y1,0.0,0.0
207,x101y10,0.0,0.0
208,x101y100,0.00425774,108.8682477802418
209,x101y101,0.016475528,421.2708611858066
210,x101y102,0.016475528,421.2708611858066
211,x101y103,0.016475528,421.2708611858066
212,x101y104,0.016475528,421.2708611858066
213,x101y105,0.03607953,922.5352520156387
214,x101y106,0.037594616,961.2751975736334
215,x101y107,0.037166927,950.3393888157135
216,x101y108,0.03790319,969.1652336339563
217,x101y109,0.047502812,1214.6226500366342
218,x101y11,0.0,0.0
219,x101y110,0.04683606,1197.574126119546
220,x101y111,0.04658885,1191.2532536565755
221,x101y112,0.045111477,1153.477580009911
222,x101y113,0.03062079,782.9580127527909
