,NLDAS_ID,max_land_constr
238,x101y128,63098.60074846015
239,x101y129,0.0
241,x101y130,764614.6300101643
242,x101y131,2713651.072514783
243,x101y132,2564195.3253627038
244,x101y133,3143396.1629495416
245,x101y134,3042105.864399138
246,x101y135,3253378.8183870288
247,x101y136,2884992.544440945
248,x101y137,2876398.45291225
249,x101y138,3206628.0724399462
250,x101y139,3014505.954231185
252,x101y140,3022193.872955593
253,x101y141,3155144.6896007564
254,x101y142,3097276.1611530706
255,x101y143,2721829.3980780686
256,x101y144,3674176.306518949
257,x101y145,23960008.139895212
258,x101y146,23950784.84429475
259,x101y147,10676478.531586152
260,x101y148,3135332.3493152894
261,x101y149,3044716.2797863623
263,x101y150,3160962.1420832146
264,x101y151,29740595.368009616
265,x101y152,3241583.3154119095
266,x101y153,7344318.303320337
267,x101y154,2730110.8742154175
268,x101y155,3049361.455011144
269,x101y156,3171990.003216764
270,x101y157,3131383.1443978944
271,x101y158,3147332.4044982675
272,x101y159,3150799.821505152
274,x101y160,3089730.289304107
275,x101y161,3087133.154730616
276,x101y162,3018987.0761623573
277,x101y163,12959548.514026232
278,x101y164,20558370.85513701
279,x101y165,2942563.826726379
280,x101y166,3103181.818181818
281,x101y167,3091487.0267444015
282,x101y168,2820421.6197828734
283,x101y169,2994461.6461845553
285,x101y170,3057629.4473976414
286,x101y171,3069669.4214876033
287,x101y172,3063263.799873995
288,x101y173,3006413.658111961
289,x101y174,3019477.716339872
290,x101y175,3022456.5539682787
291,x101y176,3027589.4683119203
292,x101y177,3010315.8530076705
293,x101y178,3016972.849723078
294,x101y179,2935877.641394561
296,x101y180,2478533.784647682
297,x101y181,2715439.9555110033
298,x101y182,2773195.954634673
299,x101y183,2838350.1793260514
300,x101y184,1668834.1565748975
301,x101y185,3094146.853337922
302,x101y186,4745408.904076689
303,x101y187,4518460.226382832
304,x101y188,1954478.016556941
305,x101y189,1982408.9214927426
307,x101y190,2898248.286383878
308,x101y191,1528052.7546417853
309,x101y192,1215055.3172545806
362,x101y54,14297.520661157025
363,x101y55,3347094.1429275903
364,x101y56,3760515.094521437
365,x101y57,3754918.828585518
366,x101y58,3742623.9669421487
367,x101y59,3733717.415718759
369,x101y60,3739235.5371900825
370,x101y61,3721921.487603306
371,x101y62,3725847.107438016
372,x101y63,3681962.8099173554
373,x101y64,3678512.3966942145
374,x101y65,3682933.884297521
375,x101y66,3632671.669750485
376,x101y67,3511518.8636700762
377,x101y68,15798670.636461822
378,x101y69,8837906.042995183
380,x101y70,3121354.4963044007
381,x101y71,3556001.2877864693
382,x101y72,3668243.8016528925
383,x101y73,3654290.368184532
384,x101y74,3656776.859504132
385,x101y75,3659152.892561984
386,x101y76,3631404.958677686
387,x101y77,2938491.73553719
388,x101y78,3447024.7933884296
389,x101y79,3453212.7861477556
391,x101y80,3558462.676139265
392,x101y81,3578450.4132231404
393,x101y82,3528698.3471074384
394,x101y83,3604111.5702479337
395,x101y84,3612644.628099174
396,x101y85,3607830.5785123967
397,x101y86,3602314.049586777
398,x101y87,3596797.520661157
399,x101y88,3591384.2975206613
400,x101y89,3585537.1900826446
402,x101y90,3578078.512396694
403,x101y91,3565867.7685950417
404,x101y92,3567086.776859504
405,x101y93,3561652.892561984
406,x101y94,3556404.958677686
407,x101y95,3548801.6528925616
408,x101y96,3541446.2809917354
409,x101y97,3491984.378278077
410,x101y98,3507161.7904283158
411,x101y99,3457325.8283952116
414,x102y100,3488009.115461264
415,x102y101,3467177.281621245
416,x102y102,3456903.807594509
417,x102y103,3478125.5503554973
418,x102y104,3473274.510868918
419,x102y105,3438449.405094666
420,x102y106,3328092.1155475015
421,x102y107,3441157.9762706314
422,x102y108,3428522.085036885
423,x102y109,3387748.1091614654
425,x102y110,3439288.5301439366
426,x102y111,3449365.0169246593
427,x102y112,3229166.11216723
428,x102y113,3162680.2491383585
429,x102y114,3291163.2145111123
430,x102y115,3377078.217830924
431,x102y116,3207275.2226243513
432,x102y117,3164198.592951405
433,x102y118,3367730.7221910167
434,x102y119,3379274.692017139
436,x102y120,3360472.922931852
437,x102y121,3326338.1469308804
438,x102y122,3242613.2458060305
439,x102y123,3222105.806605114
440,x102y124,3315826.332637135
441,x102y125,2799659.6270924667
442,x102y126,1217423.1519239503
443,x102y127,41.32231404958678
444,x102y128,22002.51610685207
445,x102y129,99745.4879778622
447,x102y130,374945.1215145022
448,x102y131,216882.08493236089
449,x102y132,817136.0069086677
450,x102y133,2413710.049114336
451,x102y134,8781795.771931183
452,x102y135,3151311.0711217583
453,x102y136,3196384.3911243384
454,x102y137,3092791.8823591755
455,x102y138,8582189.400649643
456,x102y139,3178631.1960994904
458,x102y140,3205455.937929684
459,x102y141,2867409.539532878
460,x102y142,3227453.6071051694
461,x102y143,3062670.1422528177
462,x102y144,3099829.894465234
463,x102y145,3033794.5542484405
464,x102y146,21011410.031543534
465,x102y147,12271661.161808547
466,x102y148,3043075.503049487
467,x102y149,28620120.665056027
469,x102y150,13489206.031268997
470,x102y151,15681080.401689518
471,x102y152,2770150.9591647577
472,x102y153,2953769.498127636
473,x102y154,2960178.941064415
474,x102y155,3142189.2797025805
475,x102y156,3170497.8616463644
476,x102y157,3074036.2045004615
477,x102y158,3002912.6465791124
478,x102y159,3145856.6925641773
480,x102y160,3121888.259510713
481,x102y161,3129793.388429752
482,x102y162,3122818.349358766
483,x102y163,3062519.6405552346
484,x102y164,29431094.259483203
485,x102y165,7207447.935726539
486,x102y166,2825846.409277075
487,x102y167,3046513.5522821248
488,x102y168,3033520.863687648
489,x102y169,3028450.4132231404
491,x102y170,3061280.991735537
492,x102y171,3037887.8544396227
493,x102y172,3059194.214876033
494,x102y173,3026878.756299885
495,x102y174,3038042.7392791207
496,x102y175,2869668.770537417
497,x102y176,3023098.0204309523
498,x102y177,3016093.231231252
499,x102y178,2925593.9916717904
500,x102y179,2842321.8665919667
502,x102y180,9339141.615514966
503,x102y181,4999958.976549833
504,x102y182,2135601.182193694
505,x102y183,2689772.7330178176
506,x102y184,6667268.857628797
507,x102y185,6584912.719166661
508,x102y186,3190577.74893794
509,x102y187,3431600.291029301
510,x102y188,1675349.5338090374
511,x102y189,2090750.759271672
513,x102y190,2071272.043051389
514,x102y191,3361468.0042172763
515,x102y192,2946410.8057222865
568,x102y54,762520.6611570248
569,x102y55,3764036.8993208646
570,x102y56,3759463.656093312
571,x102y57,3751026.5573638272
572,x102y58,3733712.50777705
573,x102y59,3741376.343224348
575,x102y60,3731096.728127392
576,x102y61,3714432.474256768
577,x102y62,3700578.512396694
578,x102y63,3664290.8509385535
579,x102y64,3671177.6859504133
580,x102y65,3636299.0004582806
581,x102y66,3636976.185286626
582,x102y67,3687981.7319989684
583,x102y68,17191328.531555336
584,x102y69,2272274.337758901
586,x102y70,2318904.3550746883
587,x102y71,3357782.3199378205
588,x102y72,3193103.9871148937
589,x102y73,3656425.619834711
590,x102y74,3653863.6363636367
591,x102y75,3654876.0330578513
592,x102y76,3630578.512396694
593,x102y77,3182665.2892561983
594,x102y78,3564834.7107438017
595,x102y79,3610805.785123967
597,x102y80,3600702.479338843
598,x102y81,3600681.818181818
599,x102y82,3571818.181818182
600,x102y83,3547871.9008264462
601,x102y84,3602169.4214876033
602,x102y85,3602004.132231405
603,x102y86,3600557.8512396696
604,x102y87,3596528.925619835
605,x102y88,3590909.090909091
606,x102y89,3585055.3137484705
608,x102y90,3574979.3388429754
609,x102y91,3565475.2066115704
610,x102y92,3566239.6694214875
611,x102y93,3559772.7272727275
612,x102y94,3553305.785123967
613,x102y95,3546508.26446281
614,x102y96,3544938.016528926
615,x102y97,3486643.6011842713
616,x102y98,3518949.3126297593
617,x102y99,3488620.540550689
620,x103y100,3498382.233064894
621,x103y101,3456702.3808138897
622,x103y102,3390328.158010209
623,x103y103,3465617.923884557
624,x103y104,3498404.1141923266
625,x103y105,3479767.7505559633
626,x103y106,3305634.7790805744
627,x103y107,3249136.607942972
628,x103y108,3321061.439890911
629,x103y109,3312325.809350675
631,x103y110,5002990.376753943
632,x103y111,3446013.2329913974
633,x103y112,3441537.1228976236
634,x103y113,3412104.3023955184
635,x103y114,3344999.611906737
636,x103y115,3404818.5275427927
637,x103y116,3398120.1598229175
638,x103y117,3362883.1308222064
639,x103y118,3360863.918659409
640,x103y119,3334995.1552139795
642,x103y120,3310711.4490182395
643,x103y121,3358818.580340572
644,x103y122,3253408.813305061
645,x103y123,3313443.6344932066
646,x103y124,3340483.5209613745
647,x103y125,3303864.0877723265
648,x103y126,2841241.499399777
649,x103y127,329448.9779040459
650,x103y128,1765619.5323779562
651,x103y129,684654.6128123322
653,x103y130,4290914.2440375015
654,x103y131,1832028.5232389404
655,x103y132,1476480.5491712529
656,x103y133,13708544.883073168
657,x103y134,23555790.436036978
658,x103y135,7894004.750875172
659,x103y136,2962668.807771402
660,x103y137,2999759.526906554
661,x103y138,2944943.759015485
662,x103y139,3111643.0725173093
664,x103y140,4010293.4597948557
665,x103y141,4930164.98155491
666,x103y142,2929144.0296810186
667,x103y143,2985021.02052183
668,x103y144,3209893.7148738867
669,x103y145,3189580.2853836208
670,x103y146,2890630.4607058377
671,x103y147,33047089.9031538
672,x103y148,17013661.754206296
673,x103y149,29795405.846111134
675,x103y150,36142264.04593754
676,x103y151,2836976.3511341163
677,x103y152,17977273.34609399
678,x103y153,11534016.257887945
679,x103y154,2997437.151434566
680,x103y155,3139302.46235726
681,x103y156,3135375.3008863833
682,x103y157,3148367.7685950417
683,x103y158,3067293.388429752
684,x103y159,3152747.9338842975
686,x103y160,3134999.423438616
687,x103y161,3079682.8010980017
688,x103y162,3017739.499542563
689,x103y163,2876416.3848967073
690,x103y164,14795652.677242754
691,x103y165,3048230.3999382555
692,x103y166,5084453.63135578
693,x103y167,2448417.210408813
694,x103y168,2744456.346715785
695,x103y169,3081895.6373938294
697,x103y170,3053644.3404429513
698,x103y171,3045384.490124102
699,x103y172,3047980.6870670626
700,x103y173,2995021.331573589
701,x103y174,2942093.9643490063
702,x103y175,2800753.4173315517
703,x103y176,2998475.7863008897
704,x103y177,2988279.9413191183
705,x103y178,2750204.6633839607
706,x103y179,1875145.6144483346
708,x103y180,2860908.8788555884
709,x103y181,5703752.247948844
710,x103y182,2784718.312326211
711,x103y183,3264001.198728187
712,x103y184,11395609.299514964
713,x103y185,5695775.3690604875
714,x103y186,1995640.7919850866
715,x103y187,4547480.286602184
716,x103y188,1490688.1353647627
717,x103y189,1652639.5599906927
719,x103y190,1332233.529643287
720,x103y191,918506.2138529151
721,x103y192,779332.0460752768
774,x103y54,1933471.0743801652
775,x103y55,3764099.559732704
776,x103y56,3759717.2692406173
777,x103y57,3750619.8347107437
778,x103y58,3736838.8429752067
779,x103y59,3740516.5289256196
781,x103y60,3729531.632346225
782,x103y61,3696024.20180787
783,x103y62,3684557.5094169537
784,x103y63,3633641.1605570326
785,x103y64,3517414.1509122155
786,x103y65,3523070.8110330394
787,x103y66,3619227.7435387685
788,x103y67,3468339.421956987
789,x103y68,3904047.044487078
790,x103y69,644723.871835785
792,x103y70,1886268.9327409233
793,x103y71,3443283.328783875
794,x103y72,3484331.0884124725
795,x103y73,3498743.4424988017
796,x103y74,3602671.9839303545
797,x103y75,3591298.243116023
798,x103y76,3608516.719171908
799,x103y77,3578891.3195715295
800,x103y78,3610516.5289256196
801,x103y79,3614690.082644628
803,x103y80,3603720.312242889
804,x103y81,3612603.305785124
805,x103y82,3565847.107438016
806,x103y83,3444710.743801653
807,x103y84,3563512.3966942145
808,x103y85,3534979.3388429754
809,x103y86,3523285.123966942
810,x103y87,3566053.7190082646
811,x103y88,3536260.3305785125
812,x103y89,3538980.9335831814
814,x103y90,3578016.5289256196
815,x103y91,3573801.6528925616
816,x103y92,3562500.0
817,x103y93,3549669.4214876033
818,x103y94,3548119.8347107437
819,x103y95,3549214.876033058
820,x103y96,3545227.2727272725
821,x103y97,3488234.6846189857
822,x103y98,3526803.7534389705
823,x103y99,3510831.77809154
826,x104y100,3505025.3111129827
827,x104y101,3406458.344136886
828,x104y102,3445657.0597604117
829,x104y103,3445239.6043218034
830,x104y104,3461285.878665146
831,x104y105,3465785.487511459
832,x104y106,3362083.575520279
833,x104y107,3457444.487122147
834,x104y108,3442317.1448843093
835,x104y109,3430173.4594132937
837,x104y110,3641314.1076244772
838,x104y111,9916481.568148663
839,x104y112,3435204.6196598387
840,x104y113,3349141.377816704
841,x104y114,3315645.447772821
842,x104y115,3304380.4904954177
843,x104y116,3202401.206543914
844,x104y117,3373038.8769664033
845,x104y118,3370052.822277368
846,x104y119,3377295.995437619
848,x104y120,3301039.971143432
849,x104y121,3328566.632038013
850,x104y122,3145194.473484234
851,x104y123,2766029.6638596593
852,x104y124,3166156.597490769
853,x104y125,2596415.773555964
854,x104y126,1968585.8918259551
855,x104y127,2248798.804039055
856,x104y128,144375.68650340434
857,x104y129,5201018.848488692
859,x104y130,14996272.30781772
860,x104y131,17743692.182446096
861,x104y132,2149881.310919499
862,x104y133,4884234.6124131875
863,x104y134,2895535.9262400228
864,x104y135,10859458.831248991
865,x104y136,11264395.987029526
866,x104y137,3072078.801072225
867,x104y138,3094474.7448571
868,x104y139,2892112.1529429154
870,x104y140,2816550.248670816
871,x104y141,2920296.633532565
872,x104y142,3020349.7678855867
873,x104y143,3230801.725253188
874,x104y144,3235960.096476629
875,x104y145,3203921.9621484266
876,x104y146,3186342.9073512168
877,x104y147,14781050.256351747
878,x104y148,15227748.253281489
879,x104y149,26222062.973642603
881,x104y150,35560495.660620786
882,x104y151,2901233.856107992
883,x104y152,7891447.073380958
884,x104y153,2888540.995211615
885,x104y154,3179812.5838752966
886,x104y155,3175803.0779616972
887,x104y156,3167641.209584224
888,x104y157,3154774.197833261
889,x104y158,3153863.6363636367
890,x104y159,3152128.0991735538
892,x104y160,3142706.611570248
893,x104y161,3097761.063143226
894,x104y162,3088000.477549048
895,x104y163,2530900.3928875173
896,x104y164,3074285.571778646
897,x104y165,3106652.892561984
898,x104y166,3104958.6776859504
899,x104y167,2547937.1217648345
900,x104y168,2766928.768207277
901,x104y169,3024865.8498685583
903,x104y170,2839713.761501203
904,x104y171,2883879.3925084895
905,x104y172,3022565.208372836
906,x104y173,2450111.2769717574
907,x104y174,2261122.0656381003
908,x104y175,2954706.7078719684
909,x104y176,2915132.6482297103
910,x104y177,2867268.999783596
911,x104y178,2968094.680448313
912,x104y179,2920667.015489754
914,x104y180,2997894.366965582
915,x104y181,2118934.896333341
916,x104y182,1677333.8141386025
917,x104y183,4871738.348503104
918,x104y184,5739734.635079047
919,x104y185,4603875.977896907
920,x104y186,3530404.080658873
921,x104y187,3835385.215574194
922,x104y188,2113388.8207862903
923,x104y189,1154476.8941511356
925,x104y190,2478573.1841953956
926,x104y191,2166773.858055246
927,x104y192,293791.72242527193
980,x104y54,3112803.4168679593
981,x104y55,3763326.4462809917
982,x104y56,3759090.909090909
983,x104y57,3745495.867768595
984,x104y58,3724717.582759448
985,x104y59,3714793.388429752
987,x104y60,3720702.479338843
988,x104y61,3679174.2057082215
989,x104y62,3712272.7272727275
990,x104y63,3541955.678804988
991,x104y64,46267018.05718742
992,x104y65,13382649.305377075
993,x104y66,3504424.4278167314
994,x104y67,3016535.358585521
995,x104y68,735688.8130372841
996,x104y69,737346.0822059279
998,x104y70,2007477.8010861725
999,x104y71,3430358.627766863
1000,x104y72,3574814.049586777
1001,x104y73,3638070.38886519
1002,x104y74,3629772.413753897
1003,x104y75,3507644.014798234
1004,x104y76,3561330.4040577593
1005,x104y77,3620784.32769409
1006,x104y78,3317760.84312164
1007,x104y79,3484320.5730558815
1009,x104y80,3633471.074380165
1010,x104y81,3621735.5371900825
1011,x104y82,3603202.479338843
1012,x104y83,3530516.5289256196
1013,x104y84,3566446.2809917354
1014,x104y85,3522272.7272727275
1015,x104y86,3527210.743801653
1016,x104y87,3576900.826446281
1017,x104y88,3570991.73553719
1018,x104y89,3527493.330277396
1020,x104y90,3573863.6363636367
1021,x104y91,3561342.9752066117
1022,x104y92,3560475.2066115704
1023,x104y93,3558987.6033057855
1024,x104y94,3550723.140495868
1025,x104y95,3550144.628099174
1026,x104y96,3545971.074380165
1027,x104y97,3522088.110846146
1028,x104y98,3490107.3572749672
1029,x104y99,3519774.5014899755
1032,x105y100,3504088.8640285013
1033,x105y101,3470502.289764338
1034,x105y102,3491834.793001946
1035,x105y103,3452797.631397054
1036,x105y104,3421796.893742102
1037,x105y105,3389654.378416234
1038,x105y106,3314198.3832645514
1039,x105y107,3401614.8191711656
1040,x105y108,3298791.2500824835
1041,x105y109,3423041.9897844475
1043,x105y110,3400129.69794888
1044,x105y111,3196110.088272728
1045,x105y112,7824199.575218948
1046,x105y113,3346492.570999298
1047,x105y114,3277466.9106912124
1048,x105y115,3064370.025116727
1049,x105y116,3210233.426538568
1050,x105y117,3212402.2339795944
1051,x105y118,3196803.5249516433
1052,x105y119,3352378.927229794
1054,x105y120,3935025.0785539397
1055,x105y121,2407821.031210947
1056,x105y122,2623189.318705951
1057,x105y123,2924433.404058585
1058,x105y124,3411913.644261376
1059,x105y125,1863085.9851582276
1060,x105y126,240846.56309303298
1061,x105y127,1459968.236379368
1062,x105y128,1140339.8706116993
1063,x105y129,3177621.9221256576
1065,x105y130,1754546.6106980934
1066,x105y131,2604457.7581644827
1067,x105y132,3255654.5098337326
1068,x105y133,3200850.167076305
1069,x105y134,35497098.73177736
1070,x105y135,30095218.150623746
1071,x105y136,40719282.8371386
1072,x105y137,19134225.275844242
1073,x105y138,11892739.854405692
1074,x105y139,2977941.946777871
1076,x105y140,3262401.4717398733
1077,x105y141,3073565.381216264
1078,x105y142,2725427.7829191955
1079,x105y143,5579156.254409135
1080,x105y144,3030854.4956682236
1081,x105y145,3172727.280313188
1082,x105y146,3197158.379507176
1083,x105y147,3152788.7544144336
1084,x105y148,3838374.4927897425
1085,x105y149,25603709.971518897
1087,x105y150,38708182.52875081
1088,x105y151,6912582.839668181
1089,x105y152,3935705.7018867424
1090,x105y153,3148508.8819551854
1091,x105y154,3183347.107438016
1092,x105y155,3083509.0532091586
1093,x105y156,3106039.3833289854
1094,x105y157,3155475.2066115704
1095,x105y158,3131735.5371900825
1096,x105y159,3149876.0330578513
1098,x105y160,3139730.828397294
1099,x105y161,3131011.5349744894
1100,x105y162,3130020.6611570246
1101,x105y163,3096301.6740602027
1102,x105y164,3109524.7933884296
1103,x105y165,3102995.867768595
1104,x105y166,3058812.9867335926
1105,x105y167,2501630.0358086247
1106,x105y168,2940809.0608219346
1107,x105y169,2710236.2928276407
1109,x105y170,2866400.138851083
1110,x105y171,3069173.5537190083
1111,x105y172,3004228.636633435
1112,x105y173,2255930.3573697098
1113,x105y174,10975214.745505728
1114,x105y175,2899451.9334937646
1115,x105y176,2688097.5840097233
1116,x105y177,2853492.236196232
1117,x105y178,2979398.905167698
1118,x105y179,2902776.6341700833
1120,x105y180,2291788.3876849264
1121,x105y181,3635247.9451761274
1122,x105y182,10980471.911266642
1123,x105y183,3717806.086839818
1124,x105y184,2068658.0176835328
1125,x105y185,2923082.914288362
1126,x105y186,4247022.07471954
1127,x105y187,5876478.504729272
1128,x105y188,1939219.9127036373
1129,x105y189,2127084.644225967
1131,x105y190,2039303.6144498223
1132,x105y191,2415352.123522197
1133,x105y192,1389108.7887429835
1185,x105y53,535661.1570247934
1186,x105y54,3767280.0489845444
1187,x105y55,3765971.074380165
1188,x105y56,3743197.934819069
1189,x105y57,3746735.5371900825
1190,x105y58,3747665.2892561983
1191,x105y59,3745826.4462809917
1193,x105y60,3734230.823435118
1194,x105y61,3646099.0558280125
1195,x105y62,3635761.391103455
1196,x105y63,10749857.232539915
1197,x105y64,17679499.946335793
1198,x105y65,11251816.764135594
1199,x105y66,3295993.051353555
1200,x105y67,2280591.9353087964
1201,x105y68,690995.1575442258
1202,x105y69,1067207.304196238
1204,x105y70,2454348.7075608107
1205,x105y71,2858317.351136317
1206,x105y72,3658253.431660613
1207,x105y73,3665991.73553719
1208,x105y74,3651962.8099173554
1209,x105y75,3641620.8479273897
1210,x105y76,3641260.3305785125
1211,x105y77,3532028.8049903437
1212,x105y78,3357589.2940610396
1213,x105y79,3579864.072324566
1215,x105y80,3630654.487302189
1216,x105y81,3622892.5619834713
1217,x105y82,3574256.1983471075
1218,x105y83,3559690.082644628
1219,x105y84,3570289.256198347
1220,x105y85,3559504.132231405
1221,x105y86,3587004.132231405
1222,x105y87,3586756.1983471075
1223,x105y88,3579028.925619835
1224,x105y89,3559648.760330579
1226,x105y90,3571735.5371900825
1227,x105y91,3562995.867768595
1228,x105y92,3556604.9005253296
1229,x105y93,3556033.05785124
1230,x105y94,3542314.049586777
1231,x105y95,3550743.8016528925
1232,x105y96,3545392.5619834713
1233,x105y97,3506979.181328718
1234,x105y98,3476085.888639635
1235,x105y99,3513346.7528081187
1238,x106y100,3496327.6724636853
1239,x106y101,3504862.513753747
1240,x106y102,3454744.6063922243
1241,x106y103,3472474.5990584684
1242,x106y104,3465413.977430463
1243,x106y105,3462107.4380165287
1244,x106y106,3404731.4049586775
1245,x106y107,3419028.925619835
1246,x106y108,3369773.679624214
1247,x106y109,3318475.5709916656
1249,x106y110,3392234.35259225
1250,x106y111,3394100.8732956736
1251,x106y112,3239971.870675852
1252,x106y113,10409849.04372413
1253,x106y114,3104111.7469600225
1254,x106y115,3411226.551739507
1255,x106y116,3406406.0612146654
1256,x106y117,3225973.6054870514
1257,x106y118,2979964.290157158
1258,x106y119,3055289.360687962
1260,x106y120,4052283.9985065903
1261,x106y121,14724102.722790515
1262,x106y122,351345.4813349198
1263,x106y123,2878901.419796937
1264,x106y124,3181904.371095327
1265,x106y125,1714124.1977360437
1266,x106y126,1289367.684668119
1267,x106y127,2890812.698458926
1268,x106y128,3123977.889796807
1269,x106y129,3291742.91388022
1271,x106y130,3195023.242234381
1272,x106y131,2909846.03469272
1273,x106y132,3284400.3259796826
1274,x106y133,8325501.30219504
1275,x106y134,2770483.039174776
1276,x106y135,9885031.136626279
1277,x106y136,21478941.726878185
1278,x106y137,10573732.272641856
1279,x106y138,2721631.3004687526
1280,x106y139,3126930.8142370493
1282,x106y140,2923216.3747726507
1283,x106y141,10721813.912548088
1284,x106y142,10774498.265106622
1285,x106y143,3105202.2960636765
1286,x106y144,3241363.9568424677
1287,x106y145,3233666.4561695517
1288,x106y146,3220029.2776257666
1289,x106y147,3011075.6663371585
1290,x106y148,3810912.4020596887
1291,x106y149,23802008.345647704
1293,x106y150,35829306.389233224
1294,x106y151,36760440.33169258
1295,x106y152,21346340.363826346
1296,x106y153,3169910.6887835176
