,NLDAS_ID,max_land_constr
2,x100y100,3417623.8874109504
3,x100y101,3427771.793085467
4,x100y102,3390230.368024805
5,x100y103,3447621.127524663
6,x100y104,3457954.5578762763
7,x100y105,3419175.0196632403
8,x100y106,3375793.3085613595
9,x100y107,3356167.418822592
10,x100y108,3422731.124834034
11,x100y109,3325697.480930889
13,x100y110,3381643.624926824
14,x100y111,3304306.1477206526
15,x100y112,3193857.6117815115
16,x100y113,3359931.6095752097
17,x100y114,3196873.78928884
18,x100y115,8281691.518134048
19,x100y116,3209332.5721863382
20,x100y117,3364857.297320489
21,x100y118,3395593.4144142605
22,x100y119,3380783.5185576784
24,x100y120,3389926.831036547
25,x100y121,3390455.1777458843
26,x100y122,3387244.0081963525
27,x100y123,3367245.0545466053
28,x100y124,3342323.0025018454
29,x100y125,3343244.2054771595
30,x100y126,2851168.30441735
31,x100y127,1351013.6138055297
32,x100y128,509284.76160191064
33,x100y129,185501.2633789375
35,x100y130,4979.338842975207
36,x100y131,344846.88011860626
37,x100y132,2011227.3332511818
38,x100y133,3272905.231375806
39,x100y134,3156139.2723415303
40,x100y135,3188345.074748669
41,x100y136,2935148.741897828
42,x100y137,3095509.983670496
43,x100y138,3092376.2239126596
44,x100y139,3046345.790430438
46,x100y140,5106992.30677892
47,x100y141,3015387.991205401
48,x100y142,3101690.3843010804
49,x100y143,3107201.0089518577
50,x100y144,8636775.65137069
51,x100y145,11484486.060187096
52,x100y146,49003416.79009118
53,x100y147,14125387.805790054
54,x100y148,3150636.156886377
55,x100y149,3177537.0248956135
57,x100y150,3193799.819921423
58,x100y151,4583157.649473052
59,x100y152,45753361.30232126
60,x100y153,34155749.29013573
61,x100y154,3021642.2607856356
62,x100y155,3161184.104589856
63,x100y156,3151758.5201823344
64,x100y157,3145949.836661757
65,x100y158,2993561.2481263205
66,x100y159,3135943.6209428473
68,x100y160,3142309.437095709
69,x100y161,4382076.563250401
70,x100y162,10417831.47941919
71,x100y163,55481746.33414658
72,x100y164,2870302.8298844127
73,x100y165,3091425.619834711
74,x100y166,3097641.7452922566
75,x100y167,3094979.3388429754
76,x100y168,2711348.189645739
77,x100y169,2723221.6920708804
79,x100y170,3075926.2926978148
80,x100y171,3069307.2271518954
81,x100y172,3057219.210795086
82,x100y173,2787111.3193227975
83,x100y174,2831320.2711669337
84,x100y175,3042992.4084002944
85,x100y176,3013612.5111822225
86,x100y177,3020555.104443199
87,x100y178,3020722.276750478
88,x100y179,3000722.5354922516
90,x100y180,2890206.11769131
91,x100y181,2918874.6678268583
92,x100y182,2936993.33342748
93,x100y183,2847378.2401207415
94,x100y184,2829254.0697137197
95,x100y185,2772705.4265815136
96,x100y186,2103157.328908282
97,x100y187,1760777.5290932045
98,x100y188,2833362.0382654406
99,x100y189,1843725.6452092614
101,x100y190,2873777.950310215
102,x100y191,1832175.1877046835
103,x100y192,1177208.6301372529
157,x100y55,2197650.49600209
158,x100y56,3756260.3305785125
159,x100y57,3751157.0247933883
160,x100y58,3737211.565026057
161,x100y59,3738918.4673580853
163,x100y60,3739380.1652892563
164,x100y61,3724545.4545454546
165,x100y62,3705475.2066115704
166,x100y63,3708099.8255429324
167,x100y64,3626240.3214107007
168,x100y65,3690773.0885001603
169,x100y66,3669669.4214876033
170,x100y67,3432717.512598722
171,x100y68,3293565.6558358534
172,x100y69,3666563.5782112805
174,x100y70,3538836.4328664076
175,x100y71,3492418.6843018793
176,x100y72,3643471.074380165
177,x100y73,3665847.107438016
178,x100y74,3660030.0164553486
179,x100y75,3643167.2329723355
180,x100y76,3604979.3388429754
181,x100y77,3525909.090909091
182,x100y78,3573016.5289256196
183,x100y79,3586292.727541371
185,x100y80,3598143.958311624
186,x100y81,3629670.0734768165
187,x100y82,3583946.2809917354
188,x100y83,3583677.6859504133
189,x100y84,3610723.140495868
190,x100y85,3604090.909090909
191,x100y86,3601797.520661157
192,x100y87,3596838.8429752067
193,x100y88,3591136.3636363633
194,x100y89,3578362.4028508635
196,x100y90,3579111.5702479337
197,x100y91,3573636.3636363633
198,x100y92,3565613.16498814
199,x100y93,3562747.9338842975
200,x100y94,3557431.3468063218
201,x100y95,3549814.049586777
202,x100y96,3509359.504132231
203,x100y97,3369900.837651318
204,x100y98,3508002.7934835735
205,x100y99,3460594.2461690153
208,x101y100,3459754.432334599
209,x101y101,3445719.82646633
210,x101y102,3353074.1762955966
211,x101y103,3265018.4251409736
212,x101y104,3342170.0362617564
213,x101y105,3438047.609238311
214,x101y106,3467112.3324209065
215,x101y107,3445520.411591167
216,x101y108,3456930.67690943
217,x101y109,3404067.0394928567
219,x101y110,3451283.596785371
220,x101y111,4873963.112084376
221,x101y112,9872858.475224046
222,x101y113,3203744.329328119
223,x101y114,3297564.2467344375
224,x101y115,3362551.381197435
225,x101y116,3284240.702077038
226,x101y117,3388701.7686096514
227,x101y118,3393023.5896841544
228,x101y119,3338452.4957435364
230,x101y120,3375313.8571975855
231,x101y121,3326164.1562656215
232,x101y122,3331293.006124116
233,x101y123,3304245.060267896
234,x101y124,3311362.1736216214
235,x101y125,3122988.175401584
236,x101y126,2221040.0626292625
237,x101y127,859746.4105466444
