,NLDAS_ID,max_land_constr
0,x100y1,0.0
1,x100y10,0.0
2,x100y100,3412835.222974382
3,x100y101,3421567.2213765825
4,x100y102,3389916.8469513594
5,x100y103,3443990.6298211846
6,x100y104,3450001.5547259
7,x100y105,3417482.8541690507
8,x100y106,3348950.733254863
9,x100y107,3055786.774629747
10,x100y108,3418842.2000086955
11,x100y109,3123769.706359065
12,x100y11,0.0
13,x100y110,3355294.9608543315
14,x100y111,2468964.315845772
15,x100y112,3139618.135216791
16,x100y113,3354171.2044584937
17,x100y114,3192441.346753793
18,x100y115,6247677.996644626
19,x100y116,2514727.557863783
20,x100y117,3363183.417083222
21,x100y118,3391157.76800125
22,x100y119,3379963.289908233
23,x100y12,0.0
24,x100y120,3357740.2335467953
25,x100y121,3386253.6354802283
26,x100y122,3385420.2412631
27,x100y123,3351364.2261746456
28,x100y124,3210133.6347788386
29,x100y125,3298100.212839888
30,x100y126,2841849.855924114
31,x100y127,1348486.98921265
32,x100y128,508617.4443576037
33,x100y129,183121.2884933799
34,x100y13,0.0
35,x100y130,4979.338842975207
36,x100y131,343246.89448580134
37,x100y132,1993717.9100711732
38,x100y133,3230159.29992636
39,x100y134,3022698.47965423
40,x100y135,3080753.832745657
41,x100y136,2673668.7157652513
42,x100y137,2105905.365236008
43,x100y138,2015575.4350102348
44,x100y139,1896368.7480238697
45,x100y14,0.0
46,x100y140,3115130.826719402
47,x100y141,1870005.47857468
48,x100y142,2480561.735337568
49,x100y143,2538176.51457729
50,x100y144,5659596.836119686
51,x100y145,6069508.848782302
52,x100y146,12206656.956233589
53,x100y147,6984451.195745556
54,x100y148,3034680.684414566
55,x100y149,3140527.357611049
56,x100y15,0.0
57,x100y150,3190439.451132336
58,x100y151,2539464.9479030254
59,x100y152,12174139.740449758
60,x100y153,10591872.29501503
61,x100y154,2492058.9291297346
62,x100y155,3061927.2447964814
63,x100y156,3027302.445011362
64,x100y157,3145947.6152846487
65,x100y158,2983044.409284198
66,x100y159,3135705.512236312
67,x100y16,0.0
68,x100y160,3142291.666078844
69,x100y161,2739316.16498677
70,x100y162,2455038.314614383
71,x100y163,5680534.867742727
72,x100y164,2853461.186910401
73,x100y165,3091425.619834711
74,x100y166,3097630.6384067163
75,x100y167,3094979.3388429754
76,x100y168,2710209.14730695
77,x100y169,2719828.5439508446
78,x100y17,0.0
79,x100y170,3075912.9644351667
80,x100y171,3069265.020986841
81,x100y172,3057168.1667686603
82,x100y173,2764528.7498574387
83,x100y174,2811667.267988079
84,x100y175,3042979.080137646
85,x100y176,3013498.893795867
86,x100y177,3020448.668930254
87,x100y178,3020678.3256789255
88,x100y179,2999880.5354860006
89,x100y18,0.0
90,x100y180,2884305.06904497
91,x100y181,2913882.1889224565
92,x100y182,2935301.680421841
93,x100y183,2834885.439362701
94,x100y184,2814778.9216665872
95,x100y185,2763367.230134227
96,x100y186,2056307.3453200422
97,x100y187,1872003.1021193864
98,x100y188,2826913.683079329
99,x100y189,2011230.6213738301
100,x100y19,0.0
101,x100y190,3015468.708287662
102,x100y191,1977285.635972481
103,x100y192,1147686.8446941571
104,x100y193,0.0
105,x100y194,0.0
106,x100y195,0.0
107,x100y196,0.0
108,x100y197,0.0
109,x100y198,0.0
110,x100y199,0.0
111,x100y2,0.0
112,x100y20,0.0
113,x100y200,0.0
114,x100y201,0.0
115,x100y202,0.0
116,x100y203,0.0
117,x100y204,0.0
118,x100y205,0.0
119,x100y206,0.0
120,x100y21,0.0
121,x100y22,0.0
122,x100y23,0.0
123,x100y24,0.0
124,x100y25,0.0
125,x100y26,0.0
126,x100y27,0.0
127,x100y28,0.0
128,x100y29,0.0
129,x100y3,0.0
130,x100y30,0.0
131,x100y31,0.0
132,x100y32,0.0
133,x100y33,0.0
134,x100y34,0.0
135,x100y35,0.0
136,x100y36,0.0
137,x100y37,0.0
138,x100y38,0.0
139,x100y39,0.0
140,x100y4,0.0
141,x100y40,0.0
142,x100y41,0.0
143,x100y42,0.0
144,x100y43,0.0
145,x100y44,0.0
146,x100y45,0.0
147,x100y46,0.0
148,x100y47,0.0
149,x100y48,0.0
150,x100y49,0.0
151,x100y5,0.0
152,x100y50,0.0
153,x100y51,0.0
154,x100y52,0.0
155,x100y53,0.0
156,x100y54,0.0
157,x100y55,2196169.3029958406
158,x100y56,3756260.3305785125
159,x100y57,3751157.0247933883
160,x100y58,3736873.5095007606
161,x100y59,3738662.2973575923
162,x100y6,0.0
163,x100y60,3739380.1652892563
164,x100y61,3724545.4545454546
165,x100y62,3705475.2066115704
