,NLDAS_ID,sw_irrigation_vol,WRM_SUPPLY_acreft_OG,sw_avail_bias_corr
0,x100y100,28.8641809,28.84821529,0.01596561
1,x100y101,33.73093507,33.71228015,0.018654926
2,x100y102,1.842071417,1.841052734,0.001018682
3,x100y103,22.67598934,22.66344933,0.012540012
4,x100y104,50.47012752,50.44221447,0.027913048
5,x100y105,10.39867602,10.39292488,0.005751134
6,x100y106,171.1624844,171.0678231,0.094661232
7,x100y107,1867.631332,1866.598637,1.032694819
8,x100y108,23.93420051,23.92096401,0.013236499
9,x100y109,1126.593437,1125.97047,0.622967049
10,x100y110,142.8886574,142.8096382,0.079019126
11,x100y111,5278.015217,4643.551458,634.4637592
12,x100y112,344.9301079,344.7393466,0.190761329
13,x100y113,29.7318292,29.71538987,0.016439329
14,x100y114,7.080127378,7.076211493,0.003915885
15,x100y115,12759.88478,9387.013797,3372.870983
16,x100y116,4733.356328,4730.738516,2.617811815
17,x100y117,8.420974169,8.416317273,0.004656896
18,x100y118,17.41741328,17.40778109,0.009632195
19,x100y119,2.907528405,2.905920396,0.001608009
20,x100y120,189.193222,189.0885847,0.104637285
21,x100y121,26.44388729,26.42926269,0.014624606
22,x100y122,11.01132748,11.00523705,0.00609043
23,x100y123,92.46589921,92.41476222,0.051136989
24,x100y124,810.6293397,810.1810287,0.44831104
25,x100y125,273.2022934,273.0512103,0.151083164
26,x100y126,53.99494086,53.96507905,0.029861811
27,x100y127,14.94016633,14.931902,0.008264325
28,x100y128,1.876358263,1.875320528,0.001037735
29,x100y129,10.18544495,10.17981269,0.00563226
30,x100y130,0,0,0
31,x100y131,8.49715074,8.492452559,0.00469818
32,x100y132,88.98133198,88.93211929,0.049212695
33,x100y133,166.5770186,166.4848944,0.092124277
34,x100y134,488.4467763,488.1767081,0.270068188
35,x100y135,385.1791328,384.9660888,0.213044018
36,x100y136,1149.905799,0,1149.905799
37,x100y137,2614.603505,1841.924085,772.6794204
38,x100y138,2930.070023,2474.822285,455.2477388
39,x100y139,2921.863043,2473.623773,448.2392706
40,x100y140,5363.267557,5360.300997,2.966559199
41,x100y141,2940.428343,2938.801952,1.626390947
42,x100y142,1600.027148,1599.14244,0.884708379
43,x100y143,1523.4392,1522.596619,0.84258081
44,x100y144,9979.031095,9973.511921,5.519174876
45,x100y145,11132.42361,11126.26727,6.15633638
46,x100y146,23743.35126,23730.21817,13.13308635
47,x100y147,13630.29233,13622.75497,7.537364239
48,x100y148,349.2097966,349.0166504,0.193146156
49,x100y149,116.2024247,116.1381561,0.064268599
50,x100y150,8.32351286,8.318910055,0.004602805
51,x100y151,4564.272026,4561.748022,2.524004065
52,x100y152,22613.84888,22601.34289,12.50598281
53,x100y153,19090.83662,755.0268574,18335.80977
54,x100y154,1528.428222,1360.293891,168.1343307
55,x100y155,275.8897215,275.7371331,0.1525884
56,x100y156,346.7908916,346.5991067,0.191784886
57,x100y157,0.120651189,0.120584473,6.67E-05
58,x100y158,568.5181733,568.2036903,0.31448303
59,x100y159,12.55051449,12.54357398,0.006940511
60,x100y160,0.96520951,0.964675787,0.000533723
61,x100y161,1473.868042,1473.052869,0.815172634
62,x100y162,1395.02179,1394.250193,0.771597038
63,x100y163,7239.425961,7235.421873,4.004087838
64,x100y164,830.7365811,830.2772039,0.459377254
65,x100y165,0,0,0
66,x100y166,0.603255944,0.602922332,0.000333612
67,x100y167,0,0,0
68,x100y168,60.84518882,60.81154238,0.033646434
69,x100y169,178.1554833,178.0569521,0.098531281
70,x100y170,0.723907132,0.72350677,0.000400363
71,x100y171,2.292372586,2.291105101,0.001267485
72,x100y172,2.679625431,2.678143636,0.001481795
73,x100y173,1209.395489,1208.726618,0.668871018
74,x100y174,1035.543807,1034.97112,0.572687639
75,x100y175,0.723907132,0.72350677,0.000400363
76,x100y176,5.426119378,5.423118452,0.003000926
77,x100y177,5.40984942,5.406857291,0.002992129
78,x100y178,1.459504675,1.458697439,0.000807237
79,x100y179,42.77700216,42.75334536,0.023656805
80,x100y180,308.2530833,308.0825997,0.170483597
81,x100y181,231.2982751,231.1703907,0.127884471
82,x100y182,82.82371834,82.77791356,0.045804779
83,x100y183,668.3434895,667.9738978,0.369591668
84,x100y184,781.5316946,781.0994809,0.432213682
85,x100y185,330.5000519,330.3172823,0.182769564
86,x100y186,1754.864981,1753.89457,0.970410913
87,x100y187,1619.528878,1618.633217,0.89566035
88,x100y188,301.8302051,301.6632843,0.166920883
89,x100y189,1277.656467,1276.949903,0.706563825
90,x100y190,1895.816378,1894.768151,1.048227768
91,x100y191,963.3884859,962.8557047,0.532781224
